date	time	sl
20160203	2:00	-0.16
20160203	3:00	-0.185
20160203	4:00	-0.145
20160203	5:00	-0.044
20160203	6:00	0.123
20160203	7:00	0.253
20160203	8:00	0.362
20160203	9:00	0.416
20160203	10:00	0.414
20160203	11:00	0.344
20160203	12:00	0.238
20160203	13:00	0.105
20160203	14:00	-0.012
20160203	15:00	-0.089
20160203	16:00	-0.107
20160203	17:00	-0.08
20160203	18:00	-0.006
20160203	19:00	0.083
20160203	20:00	0.181
20160203	21:00	0.222
20160203	22:00	0.233
20160203	23:00	0.23
20160204	0:00	0.225
20160204	1:00	0.051
20160204	2:00	-0.091
20160204	3:00	-0.149
20160204	4:00	-0.24
20160204	5:00	-0.212
20160204	6:00	-0.087
20160204	7:00	0.102
20160204	8:00	0.246
20160204	9:00	0.347
20160204	10:00	0.415
20160204	11:00	0.434
20160204	12:00	0.363
20160204	13:00	0.231
20160204	14:00	0.086
20160204	15:00	-0.066
20160204	16:00	-0.132
20160204	17:00	-0.111
20160204	18:00	-0.039
20160204	19:00	0.05
20160204	20:00	0.16
20160204	21:00	0.259
20160204	22:00	0.332
20160204	23:00	0.386
20160205	0:00	0.326
20160205	1:00	0.263
20160205	2:00	0.117
20160205	3:00	-0.005
20160205	4:00	-0.083
20160205	5:00	-0.115
20160205	6:00	-0.034
20160205	7:00	0.115
20160205	8:00	0.313
20160205	9:00	0.444
20160205	10:00	0.644
20160205	11:00	0.694
20160205	12:00	0.612
20160205	13:00	0.452
20160205	14:00	0.322
20160205	15:00	0.181
20160205	16:00	0.012
20160205	17:00	-0.085
20160205	18:00	-0.127
20160205	19:00	-0.128
20160205	20:00	-0.104
20160205	21:00	0.059
20160205	22:00	0.182
20160205	23:00	0.301
20160206	0:00	0.382
20160206	1:00	0.32
20160206	2:00	0.181
20160206	3:00	0.012
20160206	4:00	-0.199
20160206	5:00	-0.297
20160206	6:00	-0.297
20160206	7:00	-0.202
20160206	8:00	-0.094
20160206	9:00	0.073
20160206	10:00	0.27
20160206	11:00	0.435
20160206	12:00	0.504
20160206	13:00	0.473
20160206	14:00	0.36
20160206	15:00	0.178
20160206	16:00	-0.043
20160206	17:00	-0.233
20160206	18:00	-0.326
20160206	19:00	-0.319
20160206	20:00	-0.253
20160206	21:00	-0.095
20160206	22:00	0.082
20160206	23:00	0.26
20160207	0:00	0.368
20160207	1:00	0.362
20160207	2:00	0.248
20160207	3:00	0.073
20160207	4:00	-0.149
20160207	5:00	-0.29
20160207	6:00	-0.369
20160207	7:00	-0.364
20160207	8:00	-0.293
20160207	9:00	-0.123
20160207	10:00	0.095
20160207	11:00	0.335
20160207	12:00	0.497
20160207	13:00	0.574
20160207	14:00	0.563
20160207	15:00	0.472
20160207	16:00	0.307
20160207	17:00	0.105
20160207	18:00	-0.092
20160207	19:00	-0.144
20160207	20:00	-0.11
20160207	21:00	0.05
20160207	22:00	0.28
20160207	23:00	0.462
20160208	0:00	0.686
20160208	1:00	0.782
20160208	2:00	0.775
20160208	3:00	0.701
